USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
CA	06001	01675839	Alameda County	1910010507	216909647	737.459	83.749	37.647139	-121.912488                                                                                                              
CA	06003	01675840	Alpine County	1912292607	12557304	738.34	4.848	38.621783	-119.798352                                                                                                                  
CA	06005	01675841	Amador County	1539967071	29437120	594.585	11.366	38.443549	-120.653858                                                                                                                
CA	06007	01675842	Butte County	4238488704	105260548	1636.49	40.641	39.665336	-121.603209                                                                                                                
CA	06009	01675885	Calaveras County	2641837360	43789489	1020.019	16.907	38.191068	-120.554107                                                                                                            
CA	06011	01675902	Colusa County	2980245446	14696164	1150.679	5.674	39.177739	-122.237563                                                                                                                
CA	06013	01675903	Contra Costa County	1856752855	225364427	716.896	87.014	37.919479	-121.951543                                                                                                         
CA	06015	01682074	Del Norte County	2606049835	578810831	1006.202	223.48	41.749903	-123.980998                                                                                                           
CA	06017	00277273	El Dorado County	4423288012	203364019	1707.841	78.519	38.785612	-120.534225                                                                                                           
CA	06019	00277274	Fresno County	15432139293	136609893	5958.383	52.745	36.761006	-119.655019                                                                                                             
CA	06021	00277275	Glenn County	3403160299	33693344	1313.968	13.009	39.602546	-122.4017                                                                                                                  
CA	06023	01681908	Humboldt County	9241141220	1254150035	3568.025	484.23	40.706655	-123.926176                                                                                                           
CA	06025	00277277	Imperial County	10814595263	790216760	4175.539	305.104	33.040814	-115.3554                                                                                                            
CA	06027	01804637	Inyo County	26410783053	77280938	10197.261	29.838	36.56216	-117.404209                                                                                                                
CA	06029	02054176	Kern County	21068705437	78332288	8134.673	30.244	35.346629	-118.729506                                                                                                                
CA	06031	00277280	Kings County	3602601926	3164290	1390.972	1.222	36.072478	-119.81553                                                                                                                   
CA	06033	00277281	Lake County	3250647503	189100323	1255.082	73.012	39.108009	-122.745217                                                                                                                
CA	06035	01693324	Lassen County	11762091407	462950203	4541.369	178.746	40.715287	-120.621223                                                                                                            
CA	06037	00277283	Los Angeles County	10515988166	1785003207	4060.246	689.194	34.196398	-118.261862                                                                                                      
CA	06039	00277284	Madera County	5534591551	42271836	2136.918	16.321	37.209821	-119.749802                                                                                                               
CA	06041	00277285	Marin County	1347890152	797077336	520.423	307.753	38.051367	-122.746396                                                                                                               
CA	06043	00277286	Mariposa County	3752476985	36220865	1448.84	13.985	37.574343	-119.911721                                                                                                              
CA	06045	00277287	Mendocino County	9082586851	961786019	3506.807	371.348	39.432388	-123.442881                                                                                                          
CA	06047	00277288	Merced County	5019407132	105277636	1938.004	40.648	37.194806	-120.722802                                                                                                              
CA	06049	00277289	Modoc County	10225877725	660503268	3948.234	255.022	41.592918	-120.71837                                                                                                              
CA	06051	00277290	Mono County	7896625263	214695142	3048.904	82.894	37.915836	-118.875167                                                                                                                
CA	06053	00277291	Monterey County	8499609697	1267806850	3281.718	489.503	36.240104	-121.315578                                                                                                          
CA	06055	00277292	Napa County	1947606240	104444864	751.975	40.326	38.5071	-122.325904                                                                                                                   
CA	06057	01682927	Nevada County	2480587300	41531993	957.76	16.036	39.297508	-120.771343                                                                                                                 
CA	06059	00277294	Orange County	2053491982	406263283	792.858	156.859	33.675687	-117.777207                                                                                                              
CA	06061	00277295	Placer County	3644336873	246435971	1407.086	95.149	39.062032	-120.722718                                                                                                              
CA	06063	00277296	Plumas County	6612400772	156387638	2553.062	60.382	39.992295	-120.824371                                                                                                              
CA	06065	00277297	Riverside County	18671846195	242807981	7209.24	93.749	33.729828	-116.002239                                                                                                           
CA	06067	00277298	Sacramento County	2500063008	75323438	965.28	29.083	38.450136	-121.344329                                                                                                             
CA	06069	00277299	San Benito County	3596591085	4719300	1388.652	1.822	36.611651	-121.085811                                                                                                             
CA	06071	00277300	San Bernardino County	51976311092	96418406	20068.167	37.227	34.856661	-116.181571                                                                                                     
CA	06073	00277301	San Diego County	10904539456	817287145	4210.266	315.556	33.023604	-116.776117                                                                                                         
CA	06075	00277302	San Francisco County	121045788	479608103	46.736	185.178	37.727239	-123.032229                                                                                                         
CA	06077	00277303	San Joaquin County	3605878834	89000661	1392.238	34.363	37.934982	-121.272244                                                                                                          
