,ind,cycle,start M,0,1,21,22,212,223,50,100
1,1,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5001,1,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10001,1,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15001,1,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20001,1,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25001,1,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30001,1,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35001,1,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40001,1,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45001,1,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
2,2,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5002,2,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10002,2,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15002,2,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20002,2,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25002,2,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30002,2,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35002,2,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40002,2,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45002,2,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
3,3,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5003,3,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10003,3,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15003,3,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20003,3,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25003,3,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30003,3,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35003,3,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40003,3,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45003,3,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
4,4,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5004,4,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10004,4,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15004,4,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20004,4,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25004,4,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30004,4,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35004,4,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40004,4,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45004,4,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
5,5,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5005,5,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10005,5,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15005,5,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20005,5,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25005,5,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30005,5,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35005,5,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40005,5,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45005,5,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
6,6,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5006,6,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10006,6,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15006,6,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20006,6,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25006,6,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30006,6,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35006,6,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40006,6,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45006,6,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
7,7,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5007,7,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10007,7,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15007,7,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20007,7,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25007,7,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30007,7,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35007,7,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40007,7,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45007,7,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
8,8,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5008,8,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10008,8,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15008,8,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20008,8,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
